text,category,sentiment
"I have got to talk to bloody customer support, I need help",Technical Support,Positive
reimbusre {{Currency Symbol}}{{Refund Amount}},Billing,Neutral
changing data on {{Account Type}} account,Account Access,Neutral
I cannot edit my delivery address,Product Inquiry,Neutral
how do I see your available payment modalities?,Billing,Neutral
could I cancel my corporate newsletter subscription?,Technical Support,Negative
i need help with cancelling order {{Order Number}},Product Inquiry,Positive
is there an address to send feedback for ur products,Technical Support,Neutral
can i place an order from {{Delivery City}},Product Inquiry,Neutral
"I need to cancel a {{Account Type}} account, could you help me?",Account Access,Positive
I want information about correcting the address,Product Inquiry,Positive
where do I reset my user key?,Account Access,Neutral
help switching an article of order {{Order Number}},Product Inquiry,Positive
creating new {{Account Type}} account,Account Access,Positive
help me to lodge a consumer claim,Technical Support,Positive
shipments to {{Delivery City}},Product Inquiry,Neutral
is it possible to restore my user PIN?,Account Access,Positive
I do not know what I need to do to get a reimbursement,Billing,Neutral
i do not know what i have to do to download invoice #12588,Billing,Neutral
want assistance seeinhg how long the shipment takes,Product Inquiry,Positive
I would like to cancel purchase {{Order Number}},Product Inquiry,Positive
"I cannot find my bill #85632, mail it to me",Billing,Neutral
I need assistance to check when will my article arrive,Product Inquiry,Neutral
where can I buy some of your article?,Product Inquiry,Neutral
I want to talk to a goddamn human agent,Technical Support,Negative
wanna see in which situations can i ask for a refund,Billing,Neutral
ur refund policy,Billing,Neutral
I have got to see in which situations can Irequest a refund,Billing,Neutral
I don't know what I have to do to open a {{Account Type}} account,Account Access,Neutral
i dont know how i can unsubscribe from ur company newsletter,Technical Support,Neutral
wqhere to obtain rebates of money,Billing,Neutral
I want help to switch something of order {{Order Number}},Product Inquiry,Positive
is it possible to check invoice #37777,Billing,Neutral
I want help to see order {{Order Number}} status,Product Inquiry,Positive
i do not know how i can talk to a human agent,Technical Support,Neutral
i expect a damn restitution of {{Currency Symbol}}{{Refund Amount}},Billing,Negative
how can I find information about the shipping period?,Product Inquiry,Neutral
wanna edit the data included on my user profile can uhelp me,Account Access,Neutral
do you shp to {{Delivery City}}?,Product Inquiry,Neutral
"I want to see the cancellation penalty, help me",Technical Support,Neutral
what is your customer assistance number?,Technical Support,Positive
I need help giving an quick look at my bill #85632,Billing,Positive
"I want to see your money back guarantee, how can I do it?",Billing,Positive
i dont know how  to change my address,Product Inquiry,Neutral
assistance canceling the last order,Product Inquiry,Neutral
where can I submit my feedback for a product?,Technical Support,Neutral
I don't know how I could submit feedback for your company,Technical Support,Neutral
I want to inform of registration issues,Technical Support,Positive
how could i change to the {{Account Type}} account,Account Access,Neutral
I want help trying to edit my shipping address,Product Inquiry,Positive
i do not know how to enter a delivery address,Product Inquiry,Neutral
where could i see the eta of order {{Order Number}},Product Inquiry,Neutral
i do not know how to switch to the standard account,Account Access,Neutral
I'd like to update the details on my account i need help,Account Access,Positive
I cannot report a problem with signup,Technical Support,Positive
help me seeing purchase {{Order Number}} status,Product Inquiry,Positive
how do i shop some products,Product Inquiry,Neutral
I don't know how to lodge a condumer reclamation,Technical Support,Neutral
tracking order {{Order Number}},Product Inquiry,Neutral
I do not know what I need to do to purchase something,Product Inquiry,Neutral
where do i open a gold account for my fiance,Account Access,Neutral
assistance to list the payment options,Billing,Neutral
i paid {{Refund Amount}} dollars for an article how can i obtain a rebate,Billing,Neutral
I want to check in what cases can I request to be reimbursed,Billing,Positive
where is purechase {{Order Number}},Product Inquiry,Neutral
want help checking in what situations can I ask for a refund,Billing,Positive
I need help to ask for a compensation of my money,Billing,Positive
help me to lodge a claim against ur business,Technical Support,Positive
"I submitted a wrong address by mistake, could I update it?",Product Inquiry,Negative
can I talk with an assistant?,Technical Support,Neutral
need to modify the details on my user profile how to do it,Account Access,Neutral
what do i need to do to set up my delivery address,Product Inquiry,Neutral
want help to know if there is anything wrong with the refund,Billing,Neutral
I need to retrieve the pass of my user account,Account Access,Neutral
show me the withdrawal penalties,Technical Support,Neutral
I need help closing a platinum account,Account Access,Positive
I would like to see what hours I can call customer support,Technical Support,Positive
can ya help me to see what shipment options i have,Product Inquiry,Positive
need to change something of purchase {{Order Number}},Product Inquiry,Neutral
help checking in which cases can I ask to be reimbursed,Billing,Positive
would it be possible to enter the new delivery address?,Product Inquiry,Neutral
I want assistance to notify of troubles with online payments,Billing,Negative
"I have to see the early exit penalty, could you help me?",Technical Support,Negative
i need information about the shipment options,Product Inquiry,Neutral
how do I edit order {{Order Number}}?,Product Inquiry,Neutral
is it possible to talk to customer service,Technical Support,Neutral
I have got to see your money back policy,Billing,Neutral
i need assistance looking for the bills from {{Person Name}},Billing,Neutral
ohw do I check how soon can I expect the item?,Product Inquiry,Neutral
cann I lodge a consumer reclamation against your business?,Technical Support,Neutral
can I talk to customer uspport?,Technical Support,Neutral
assistance receiving the company newsletter,Technical Support,Neutral
i have a question about creating a freemium account,Account Access,Positive
I do not know how I can make a customer reclamation,Technical Support,Neutral
I would like to track the restitution,Billing,Positive
help me canceling purchase {{Order Number}},Product Inquiry,Positive
edit information onfree account,Account Access,Neutral
want help listing the accepted payment methods,Billing,Positive
where can I download the invoice #37777?,Billing,Neutral
"I would like to submit my feedback about a product, help me",Technical Support,Positive
i do not know what to do to lodge a customer reclamation,Technical Support,Neutral
I need assistance resetting the key of my user account,Account Access,Neutral
"I have to download the bill from {{Person Name}}, how to do it?",Billing,Neutral
i dont know how i can see my rebate current status,Billing,Neutral
is it possible top order several items?,Product Inquiry,Positive
i need assistance to locate purchase {{Order Number}},Product Inquiry,Neutral
I want to know more about updating my address,Product Inquiry,Positive
i need help seeing the goddamn eta of purchae {{Order Number}},Product Inquiry,Negative
I need help to obtain refunds of money,Billing,Positive
leave review for a service,Technical Support,Negative
help to file a consumer complaint against your organization,Technical Support,Positive
there are errors setting up my secondary shipping address,Product Inquiry,Negative
help to chat with a damn operator,Technical Support,Neutral
help me to unsubscribe from the company newsletter,Technical Support,Positive
could you help me talking with customer assistance?,Technical Support,Positive
there is an error trying to update my shipping address,Product Inquiry,Negative
I am trying to file a rreclamation against your business,Technical Support,Neutral
how can I ask for a restitution of my money?,Billing,Neutral
i cant open a user account help me report sign-up errors,Technical Support,Positive
i do not know how to file a customer complaint,Technical Support,Negative
i need help changing some articles of order {{Order Number}},Product Inquiry,Positive
i want help retrieving my pin code,Account Access,Positive
change info on platinum account,Account Access,Neutral
what do I need to do to file a claim?,Technical Support,Neutral
need assistance recovering the PIN code of my account,Account Access,Neutral
need to check ur refund policy can i get some help,Billing,Positive
I do not know how to get refunds of my money,Billing,Neutral
I cannot check the status of my newsletter subscription,Technical Support,Neutral
assistance trying to change the shipping address,Product Inquiry,Neutral
need help to see in which situations can I request a refund,Billing,Positive
wanna file a customer claim against ur company,Technical Support,Neutral
I want help receiving the corporate newsletter,Technical Support,Positive
I need to check the cancellation charge,Technical Support,Neutral
need help to report an issue with payment,Billing,Positive
"I have got to enter a delivery address, can you help me?",Product Inquiry,Positive
how can I check the available payment modalities?,Billing,Neutral
help submitting some feedback for ur products,Technical Support,Positive
can I order from {{Delivery City}}?,Product Inquiry,Neutral
i have to check in what cases can i ask for refunds,Billing,Neutral
i do not know what to do toreset the pwd of my user,Account Access,Neutral
I need to see when will my product arrive,Product Inquiry,Neutral
where do I report an issue iwth sign-up?,Technical Support,Neutral
is it possible to order from {{Delivery Country}}?,Product Inquiry,Neutral
"I want to get the bill #85632, I need help",Billing,Positive
can you help me to correct my address?,Product Inquiry,Positive
help to see in what cases can I ask for a reimbursement,Billing,Positive
what do I need to do to remove the {{Account Type}} account?,Account Access,Neutral
I am trying to see what hours customer service available is,Technical Support,Neutral
assistance with payment,Billing,Neutral
remove premium account,Account Access,Neutral
I do not know ohw to acquire an item,Product Inquiry,Neutral
I do not know how to acquire a few of your product,Product Inquiry,Neutral
what do i need to do to speak with an assistant,Technical Support,Neutral
how could i enter afucking delivery address,Product Inquiry,Neutral
I do not know how I can get my invoice from {{Person Name}},Billing,Neutral
is it possible to earn several products?,Product Inquiry,Neutral
updating premium accojnt,Account Access,Neutral
can you help me seeing how soon can I expect my purchase?,Product Inquiry,Positive
open another standard account for mum,Account Access,Neutral
i have top inform of goddamn sign-up problems could uhelp me,Technical Support,Negative
I do not know what to do to write a comment about a product,Technical Support,Neutral
help me seeing if there are any news on my reimbursement,Billing,Positive
I do not know how I can enter the new delivery address,Product Inquiry,Neutral
want help sending some feedback for your prfoducts,Technical Support,Positive
is it possible to lodge a customer claim,Technical Support,Neutral
need help to check in which cases can I request refunds,Billing,Positive
how to change to the {{Account Category}} account,Account Access,Neutral
rebating {{Refund Amount}} dollars,Billing,Neutral
I am trying to check order {{Order Number}} current status,Product Inquiry,Neutral
I need supports trying to update my shipping address,Product Inquiry,Positive
I want help solving a problem with online payment,Billing,Positive
help me using the {{Account Type}} profile,Account Access,Positive
assistance informing of problems with registrations,Technical Support,Negative
I need to speak to someone,Technical Support,Neutral
could you help me to submit some feedback for your products?,Technical Support,Positive
there are errors trying to modify my shipping address,Product Inquiry,Negative
"I need to see how soon can I expect my shipment, help me",Product Inquiry,Positive
contact live agent,Technical Support,Neutral
get invoices from {{Person Name}},Billing,Neutral
see purchase {{Order Number}} status,Product Inquiry,Neutral
I call to send my feedback about your services,Technical Support,Neutral
need to speak to customersupport can ya help me,Technical Support,Positive
help me to reset my profile pwd,Account Access,Positive
I'm trying to see the eta of purchase {{Order Number}},Product Inquiry,Neutral
I do not know how to contact customer service,Technical Support,Neutral
I would like to delete my premium account,Account Access,Positive
i have got to locate order {{Order Number}},Product Inquiry,Neutral
find my invoices from {{Person Name}},Billing,Neutral
rebating {{Currency Symbol}}{{Refund Amount}},Billing,Neutral
list ur payment modalities,Billing,Neutral
assistance to check the current status of order {{Order Number}},Product Inquiry,Neutral
I need help seeing the bloody termination penalty,Technical Support,Negative
want help to change several items of purchase {{Order Number}},Product Inquiry,Positive
I want assistance seeing the bloody cancellation fee,Technical Support,Negative
how can I ask for a compensation of money?,Billing,Neutral
i have to contact an agent,Technical Support,Neutral
I do not know how I can check your allowed payment options,Billing,Neutral
I want help restoring my user account PIN,Account Access,Positive
there are problems tring to correct my address,Product Inquiry,Negative
I need assistance to enter another shipping address,Product Inquiry,Neutral
question about canceling a bloody purchase,Product Inquiry,Negative
i never use the pro account i need help deleting it,Account Access,Positive
see order {{Order Number}} current status,Product Inquiry,Neutral
help checking what hours customer service available is,Technical Support,Positive
canceling order {{Order Number}},Product Inquiry,Neutral
I need help with canceling order {{Order Number}},Product Inquiry,Positive
I want to see in which cases can I request my money back,Billing,Positive
need to check what methods for delivery i can choose help me,Product Inquiry,Positive
I dp not know how to cancel order {{Order Number}},Product Inquiry,Negative
where can i find information about the methods for shipment,Product Inquiry,Neutral
I want assistance submitting feedback for your company,Technical Support,Positive
i have got to ceck ur money back guarantee i need help,Billing,Positive
can you help me seeing the cancellation charges?,Technical Support,Positive
I don't know what I have to do to locate my invoice #00108,Billing,Neutral
show me in which cases can I ask for refunds,Billing,Neutral
I want help to inform of a sign-up problem,Technical Support,Positive
what do I have to do to talk with an agent?,Technical Support,Neutral
I do not know what I have to do to delete a {{Account Category}} account,Account Access,Neutral
i do not know what i have to do to get bill #00108,Billing,Neutral
can you help me to inform of a trouble with payment?,Billing,Neutral
i want help retrieving the access key of my account,Account Access,Positive
modifying details on {{Account Type}} account,Account Access,Neutral
correcting info on {{Account Category}} aqccount,Account Access,Neutral
I have an issue submitting the secondray delivery address,Product Inquiry,Neutral
i want assistance acquiring a few of ur item,Product Inquiry,Positive
I call to get my invoice from {{Person Name}},Billing,Neutral
"I ain't registered, how to open a standard account with you?",Account Access,Neutral
i dont know what i have to do to speak to an assistant,Technical Support,Neutral
I do not know how to list the payment methods,Billing,Neutral
"I have lost my user account password, how can I reset it?",Account Access,Negative
wanna see order {{Order Number}} status acn ya help me,Product Inquiry,Positive
I want assistance retrieving my user profile key,Account Access,Positive
"I have to check the shipment options, help me",Product Inquiry,Positive
I need assistance taking a quick look at my bill #12588,Billing,Neutral
where to see how long the delivery takes?,Product Inquiry,Neutral
would it be possible to swap an article of order {{Order Number}}?,Product Inquiry,Neutral
i dont know what i need to do to report errors with sign-up,Technical Support,Negative
where can I edit my delivery address?,Product Inquiry,Neutral
open platinum account for wife,Account Access,Neutral
i want assistance to notify of a goddamn signup problem,Technical Support,Negative
can you help me seeing in what cases can I request a refund?,Billing,Positive
help me contact customer assistance,Technical Support,Positive
can ya help me to check the ETA of the order {{Order Number}},Product Inquiry,Positive
i have to check how soon can i expect tne article,Product Inquiry,Neutral
i cannot set up my new shipping address,Product Inquiry,Neutral
problems with cancelling order {{Order Number}},Product Inquiry,Negative
modify information on {{Account Category}} account,Account Access,Neutral
under what circumstances can I ask to be reimbursed?,Billing,Neutral
help solving a trouble with online payment,Billing,Positive
want help to send my feedback for your rpoducts,Technical Support,Positive
need to create an {{Account Category}} account,Account Access,Positive
help submitting feedback about a service,Technical Support,Positive
"I paid {{Currency Symbol}}{{Refund Amount}} for these articles, I have to obtain a rebate",Billing,Neutral
i have got to buy several articles,Product Inquiry,Neutral
I try to delete the {{Account Type}} account,Account Access,Neutral
what do I need to do to see bill #37777?,Billing,Neutral
tell me about updating my delivery address,Product Inquiry,Neutral
I want assistance seeing your available payment modalities,Billing,Positive
cancel {{Account Category}} account,Account Access,Negative
"I need to change to the pro account, how can I do it?",Account Access,Neutral
can I send feedback for a service?,Technical Support,Neutral
I want to change to the {{Account Type}} account,Account Access,Positive
I have to create a {{Account Type}} acocunt for my fiance,Account Access,Positive
cancelling {{Account Type}} account,Account Access,Negative
order 113542617735902current status,Product Inquiry,Neutral
I want assistance using the standard account,Account Access,Positive
opening new {{Account Type}} account for daughter,Account Access,Neutral
I need help to check purchase {{Order Number}} current status,Product Inquiry,Positive
I need assistance to speak to a live agent,Technical Support,Neutral
I do not know what I need to do to send some damn feedback,Technical Support,Negative
can i check the withdrawal penalty,Technical Support,Negative
will umail me the bills from {{Person Name}},Billing,Neutral
i need help reporting a trouble with online payments,Billing,Neutral
"I cannot open an account, how to report a sign-up issue?",Technical Support,Neutral
help me checking if there are any news on my refund,Billing,Positive
error modifying  delivery address,Product Inquiry,Negative
help to see order {{Order Number}} current status,Product Inquiry,Positive
help me sending my feedback about your services,Technical Support,Positive
"I have to see the early exit penalty, I need help",Technical Support,Negative
I don't know what to do to remove the premium account,Account Access,Neutral
I don't know what I need to do to chat with an operator,Technical Support,Neutral
i expect an refund of {{Refund Amount}} dollars was it processed,Billing,Neutral
need to check what hours i can reach customer service,Technical Support,Neutral
need assistanbce to make a complaint,Technical Support,Negative
"I have got to lodge a complaint, can I get some help?",Technical Support,Positive
can uhelp me to recover te pwd of my user,Account Access,Neutral
"I need to see in what cases can I request a refund, help me",Billing,Positive
i expect a reimbursement of {{Currency Symbol}}{{Refund Amount}},Billing,Neutral
I need assistance to see what delivery methods are there,Product Inquiry,Neutral
i do not know what to do to close the {{Account Category}} account,Account Access,Neutral
help to check the damn current status of the restitution,Billing,Neutral
send me bull from {{Person Name}},Billing,Neutral
could I retrieve the password of my user account?,Account Access,Neutral
wanna use the {{Account Type}} account i need help,Account Access,Positive
"I want to correct my address, I need help",Product Inquiry,Positive
i dont have a {{Account Category}} account eyt i need to sign up,Account Access,Neutral
I'd like to get the bill from {{Person Name}} how to od it,Billing,Positive
how do I see order {{Order Number}} current status?,Product Inquiry,Neutral
I do not know how to call customer service,Technical Support,Neutral
how can i swap several items of purchase {{Order Number}},Product Inquiry,Neutral
I want assistance to check how soon can I expect the package,Product Inquiry,Positive
I have to see the current status of my reimbursement,Billing,Neutral
"I am unhappy with your work, I want to file a consumer claim",Technical Support,Negative
i cannot track my restitution,Billing,Neutral
get invoices from last purchase,Billing,Neutral
I want assistance using the gold account,Account Access,Positive
I don't know what I need to do to download invoice #37777,Billing,Neutral
I want help talking with an assistant,Technical Support,Positive
i cant change an item of purchase {{Order Number}},Product Inquiry,Neutral
I am trying to see the early exit penalties,Technical Support,Neutral
edit info on platinum account,Account Access,Neutral
new {{Account Category}} acount for wife,Account Access,Neutral
I do not know what to do to demand my money back,Billing,Negative
"I made a mistake, I want help editing order {{Order Number}}",Product Inquiry,Positive
acn i switch to the pro account,Account Access,Neutral
see invoice #37777,Billing,Neutral
updating info on {{Account Type}} account,Account Access,Neutral
how can i remove a platinum acclunt,Account Access,Neutral
I expect a bloody reimbursement of {{Refund Amount}} dollars,Billing,Negative
I want help to update some of the details on my user account,Account Access,Positive
is it possible to receive reimbursements?,Billing,Neutral
updaing info on {{Account Type}} account,Account Access,Neutral
I'm calling to write a comment about ur services,Technical Support,Neutral
assistance to see the invoice from {{Person Name}},Billing,Neutral
I have errors with my registration,Technical Support,Negative
I want help to notify of a registration error,Technical Support,Positive
i mised some items in purchase {{Order Number}} can i add them,Product Inquiry,Neutral
help me sign up to ur newsleter,Technical Support,Positive
where to acquire several of your article?,Product Inquiry,Neutral
i have lost my bill from {{Person Name}} find it for me,Billing,Negative
correcting details on {{Account Category}} account,Account Access,Neutral
"I have got to write a comment about a product, help me",Technical Support,Positive
"I have to acquire a bloody item, I need assistance",Product Inquiry,Negative
can you help me obtaining refunds?,Billing,Positive
I have a problem with canceling purchase {{Order Number}},Product Inquiry,Negative
needc to talk to an assistant,Technical Support,Neutral
I want assistance switching to the {{Account Category}} account,Account Access,Positive
can huelp me check ur refund policy,Billing,Neutral
can ya help me using the fucking {{Account Category}} profile,Account Access,Positive
can i see what payment payment modalities are available,Billing,Neutral
I want assistance to check the available payment modalities,Billing,Positive
i dont know how i can ask for compensations of money,Billing,Neutral
I am trying to retrieve the PIN of my user profile,Account Access,Neutral
remove pro accoint,Account Access,Neutral
how can I restore the password of my user profile?,Account Access,Positive
can ay help me notifying of a trouble with payment,Billing,Neutral
I do not know how to track order {{Order Number}},Product Inquiry,Neutral
"I would like to shop some of your product, how to do it?",Product Inquiry,Positive
can uhelp me canceling purchase {{Order Number}},Product Inquiry,Neutral
where do i request reimburseents,Billing,Neutral
I want to know more about opening {{Account Category}} accounts,Account Access,Positive
help notifying of signup problems,Technical Support,Neutral
i try to speak with someone,Technical Support,Neutral
wanna chec order {{Order Number}} status,Product Inquiry,Neutral
what do i have to do to close the {{Account Type}} account,Account Access,Neutral
opening new {{Account Type}} account for daughter,Account Access,Neutral
could I see the goddamn available payment methods?,Billing,Negative
I want assistance deleting my standard account,Account Access,Positive
I'd like to purcjase several of ur item help me,Product Inquiry,Positive
i want help talkingh to a live agent,Technical Support,Positive
i want help downloading the bill #85632,Billing,Positive
how can I lodge a customer claim?,Technical Support,Neutral
can you help me making a complaint?,Technical Support,Positive
I'm looking for infdormation about editing the address,Product Inquiry,Neutral
"I need to leave some feedback, can I get some help?",Technical Support,Positive
I have to acquire some items,Product Inquiry,Neutral
how can I switch to the freemium account?,Account Access,Neutral
help me to acquire a few of your item,Product Inquiry,Positive
I need help with canceling purchase {{Order Number}},Product Inquiry,Positive
I have to speak with a person,Technical Support,Neutral
I don't know how I can speak with an operator,Technical Support,Neutral
I have to give a quick look at the invoice #00108,Billing,Neutral
how to swap some articles of order {{Order Number}}?,Product Inquiry,Neutral
can uhelp me to change a product of purchase {{Order Number}},Product Inquiry,Neutral
can ya help me to create a platinum account for my fiance,Account Access,Positive
i dont know what i need to do to change to the {{Account Type}} account,Account Access,Neutral
I do not know what I need to do to create a {{Account Type}} account,Account Access,Positive
I have got to swap a damn product of order {{Order Number}},Product Inquiry,Negative
need assistance to speak to a live agent,Technical Support,Neutral
I cannot find the early termination charge,Technical Support,Neutral
can you help me recover my user profile password?,Account Access,Positive
i have got to cancel the subscription to ur newsletter,Technical Support,Negative
i dont know what i need to do to make a customer claim,Technical Support,Neutral
retrieve my user password,Account Access,Neutral
I want to update my user profile,Account Access,Positive
problem modifying delivery address,Product Inquiry,Negative
i want help requesting a reimbursement of moey,Billing,Positive
download bills from {{Person Name}},Billing,Neutral
"I have to update order {{Order Number}}, I need assistance",Product Inquiry,Neutral
I'd liketo see the ETA of the purchase {{Order Number}} help me,Product Inquiry,Positive
need assistance to recover my account pass,Account Access,Neutral
I don't know what I have to do to earn a few of your item,Product Inquiry,Neutral
i dont know how to cancel my subscription to the newsletter,Technical Support,Negative
find information about the removal of my pro account,Account Access,Neutral
editing information on account,Account Access,Neutral
help me order solme of ur article,Product Inquiry,Positive
how can I check if there are any updates on the restitution?,Billing,Neutral
"I have got to submit the secondary shipping address, help me",Product Inquiry,Positive
add some products to order {{Order Number}},Product Inquiry,Neutral
can I see how long the shipping takes?,Product Inquiry,Neutral
I'm waiting for a refund of {{Currency Symbol}}{{Refund Amount}},Billing,Neutral
can uhelp me check the bloody early termination charge,Technical Support,Negative
I have got to change the details included on my user,Account Access,Neutral
could you help me see how soon can I expect my parcel?,Product Inquiry,Positive
help to use the pro profile,Account Access,Positive
i need assistance to file a complaint,Technical Support,Negative
know if there is anything new on my rebate,Billing,Neutral
help using the {{Account Type}} profile,Account Access,Positive
how do I use the premium account?,Account Access,Neutral
"I need to edit my goddamn user, could I get some help?",Account Access,Negative
I'm trying to see the rebate current status,Billing,Neutral
delete standard account,Account Access,Neutral
i chose a wfong fucking address i wanna correct it,Product Inquiry,Neutral
"I cannot find the termination fees, I need assistance",Technical Support,Neutral
I do not know how to leave a goddamn comment about a service,Technical Support,Negative
where do I order something?,Product Inquiry,Neutral
i have got to retrieve my account pin how could i do it,Account Access,Neutral
where do I check how long it takes for my item to arrive?,Product Inquiry,Neutral
will you give me information about my PIN retrieval?,Account Access,Neutral
i  dont know how to switch to the pro account,Account Access,Neutral
can you help me check if there are any news on my refund?,Billing,Positive
"my goddamn delivery address has changed, change it",Product Inquiry,Negative
help me solving troubles with payment,Billing,Positive
order {{Order Number}} status,Product Inquiry,Neutral
I need assistance to chat with an operator,Technical Support,Neutral
assistance giving an quick look at my invoice from {{Person Name}},Billing,Positive
mldifying premium account,Account Access,Neutral
check bills from {{Person Name}},Billing,Neutral
cn I place an order from {{Delivery City}}?,Product Inquiry,Neutral
edit info on {{Account Category}} account,Account Access,Neutral
how can I see the status of purchae {{Order Number}}?,Product Inquiry,Neutral
is there an address to leave an opinion ?,Technical Support,Negative
I want assistance to take a quick look at bill #85632,Billing,Positive
wanna see ur refund policy how to do  it,Billing,Neutral
is there a way to submit some feedback for ur services,Technical Support,Neutral
I want assistance to request my money back,Billing,Positive
could I check the goddamn status of the refund?,Billing,Negative
I don't know how to demand a restitution of money,Billing,Negative
i do not know what to do to shop several of ur item,Product Inquiry,Neutral
I would like to request a refund,Billing,Positive
i want assistance seeing ur avbailable payment options,Billing,Positive
how can I call customer service?,Technical Support,Neutral
I need help with canceling order {{Order Number}},Product Inquiry,Positive
I am trying to speak with an operator,Technical Support,Neutral
how can i see ur allowed payment methods,Billing,Neutral
I don't know whar I need to do to notify of signup errors,Technical Support,Negative
I'm trying to get th fucking invoices from {{Person Name}},Billing,Neutral
help solving a problem with online payment,Billing,Positive
send me bill from {{Person Name}},Billing,Neutral
editing premium  account,Account Access,Neutral
"I can no longer afford purchase {{Order Number}}, cancel it",Product Inquiry,Negative
I need help to speak to a bloody human agent,Technical Support,Negative
need assstance to file a consumer claim against your company,Technical Support,Neutral
what do i need to do to ask for a rebate of money,Billing,Neutral
i do not know how to check my refund current status,Billing,Neutral
trouble modifying delivery address,Product Inquiry,Negative
help me ask for reimbursements of my money,Billing,Positive
"I can't pay, is it possible to report troubles with payment?",Billing,Negative
I am waiting for a rebate of {{Currency Symbol}}{{Refund Amount}},Billing,Neutral
how could i purchase some fucking articles,Product Inquiry,Neutral
do youhave an e-mail address to contact customer service?,Technical Support,Neutral
file complaint against your business,Technical Support,Negative
help me see what hours I can call customer support,Technical Support,Positive
I  don't know what to do to correct my address,Product Inquiry,Neutral
help me see under what circumstances can I request a refund,Billing,Positive
clsoe {{Account Category}} account,Account Access,Neutral
help using the standard profile,Account Access,Positive
want assistance to see your payment modalities,Billing,Positive
how to reset the apssword of my account,Account Access,Neutral
I have to look for the bills from {{Person Name}},Billing,Neutral
"I lost bill #37777, mail it to me",Billing,Negative
I am trying to check what hours I can call customer support,Technical Support,Positive
how do I check what hours I can call customer support?,Technical Support,Positive
what do I have to do to change to the {{Account Category}} account?,Account Access,Neutral
deliverids to {{Delivery Country}},Product Inquiry,Neutral
I do not know what I have to do to talk to customer suppory,Technical Support,Neutral
"I have to see the shipment methods, can you help me?",Product Inquiry,Positive
I want to submit the edlivery address,Product Inquiry,Positive
how to file a consumer claim against your company?,Technical Support,Neutral
i have to inform of problems with signup can i get some help,Technical Support,Neutral
want assistance to lodge a complaint against your business,Technical Support,Negative
i need help demanding restitutions of my money,Billing,Positive
I do not know what I need to do to buy an product,Product Inquiry,Neutral
is it possible to report problems with sign-up?,Technical Support,Negative
show me under which circumstances can I ask to be reimbursed,Billing,Neutral
assistance to request rebates,Billing,Neutral
i need help checking what payment options are accepted,Billing,Positive
can I delete some articles from order {{Order Number}}?,Product Inquiry,Neutral
can you help me cancel purchase {{Order Number}}?,Product Inquiry,Positive
correcting infornation on {{Account Category}} account,Account Access,Neutral
is it possible to place an order from {{Delivery City}}?,Product Inquiry,Neutral
i do not know what to do to report a trouble with payment,Billing,Negative
I don't know what I have to do to see the termination fees,Technical Support,Neutral
i need assistance to set the new delivery address up,Product Inquiry,Neutral
there are problems entering a secondary shipping address,Product Inquiry,Negative
"I submitted a wrong shipping address, I awnt to change it",Product Inquiry,Negative
help me to retrieve the access key of my user,Account Access,Positive
I have to conract customer assistance,Technical Support,Neutral
do uship to {{Delivery City}},Product Inquiry,Neutral
help me to use the gold profile,Account Access,Positive
I'm trying to see the cancellation fee,Technical Support,Neutral
do you have an e-mail to send a review about your products?,Technical Support,Neutral
what do i need to do to restore my account pin,Account Access,Positive
is there an e-mail to send my feedbakc for ur products,Technical Support,Neutral
can you help me to see when my item is going to arrive?,Product Inquiry,Positive
show me what shipment methods I have,Product Inquiry,Neutral
is it possible to unsubscribe from the company newsletter,Technical Support,Neutral
I need help to see your refund policy,Billing,Positive
I want assistace to request a compensation of my money,Billing,Positive
want assistance canceling purchase {{Order Number}},Product Inquiry,Positive
I am trying to edit the delivery adress,Product Inquiry,Neutral
how can I check your reimbursement policy?,Billing,Neutral
do you have an address to leave feedback for your services?,Technical Support,Negative
can i send my feedback about ur services,Technical Support,Neutral
need assistance leaving a commnet for your services,Technical Support,Neutral
get bill fromMr. Jones,Billing,Neutral
what are your available payment options?,Billing,Neutral
i dont know what to do to notify of an issdue with a sign-up,Technical Support,Neutral
how do I inform of an issue with a signup?,Technical Support,Neutral
I need assistance to get a rebate of  my money,Billing,Neutral
speaking with assistant,Technical Support,Neutral
assistance shopping some of your article,Product Inquiry,Neutral
want help to track the reimbursement,Billing,Positive
I want to check when my item is going to arrive,Product Inquiry,Positive
i missed a fucking product in purchase {{Order Number}},Product Inquiry,Negative
need to see the allowed payment options can uhelp me,Billing,Neutral
i need supports trying to modify my delivery address,Product Inquiry,Positive
I don't know how to speak with an assistan,Technical Support,Neutral
can you help me create a different bloody platinum account?,Account Access,Positive
"I need to set my shipping address up, how do I do it?",Product Inquiry,Neutral
i need help to see what hours customer support azvailable is,Technical Support,Positive
can I get my bill from {{Person Name}}?,Billing,Neutral
I want assistance to list your payment modalities,Billing,Positive
I have got to check what hours customer service available is,Technical Support,Neutral
reporting issues with payment,Billing,Neutral
I need to see how long it takes for my parcel to arrive,Product Inquiry,Neutral
assistance to know if there are any news on my refund,Billing,Neutral
I want assistance to locate my bill #00108,Billing,Positive
can you help me unsubscribe to the newsletter?,Technical Support,Positive
I have to notify of a payment error,Billing,Negative
how can I purchase several fucking items ?,Product Inquiry,Neutral
updating data on {{Account Category}} account,Account Access,Neutral
I want help speaking with an operator,Technical Support,Positive
